OrgName,Cities,ST,AnyAMT,AnyAMTDate
 First  ,Barboursville,WV,14361,5/23/22
Ericson  ,Ericson,NE,18265,4/4/22
 National   New Jersey,Newark,NJ,21111,12/20/21
Resolute ,Maumee,OH,58317,12/13/21
Louisa  ,Louisa,KY,58112,12/13/21
 Enloe  ,Cooper,TX,10716,7/19/21
Washington    really,Chicago,IL,30570,2/3/20
 Farmers  Merchants,Argonia,KS,17719,12/2/19
Fayette  ,Saint Elmo,IL,1802,7/15/19
Guaranty,Milwaukee,WI,30003,6/24/19
First NBC ,New Orleans,LA,58302,6/17/19
Pricio ,Cottonwood Heights,UT,35495,4/22/19
Seaway   Trust ,Chicago,IL,19328,3/18/19
Harvest  ,Pennsville,NJ,34951,3/4/19
Allied ,Mulberry,AR,91,11/12/18
 Woodbury ing ,Woodbury,GA,11297,10/8/18
CnerStone ,King of Prussia,PA,35312,6/25/18
Trust  Always,Memphis,TN,9956,6/18/18
Nth Milwaukee  ,Milwaukee,WI,20364,4/30/18
Hometown National ,Longview,WA,35156,11/20/17
   Gegia,Peachtree City,GA,35259,11/20/17
Premier ,Denver,CO,34112,8/28/17
Edgebrook ,Chicago,IL,57772,6/26/17
Dal ,San Juan,PR,32102,4/17/17
Capitol   ,Atlanta,GA,33938,4/3/17
Highl  ,Chicago,IL,20290,3/13/17
First National   Crestview,Crestview,FL,17557,3/6/17
Nrn Star ,Mankato,MN,34983,2/6/17
Frontier El Paseo ,Palm Desert,CA,34738,12/26/16
 National Republic,Chicago,IL,916,12/12/16
NBRS ,Rising Sun,MD,4862,12/5/16
GreenChoice,Chicago,IL,28462,9/12/16
Eastside  ,Conyers,GA,58125,9/5/16
 Freedom  ,Freedom,OK,12483,8/15/16
Valley ,Fort Lauderdale,FL,21793,8/8/16
Valley ,Moline,IL,10450,8/8/16
Slavie  Savings ,Bel Air,MD,32368,7/18/16
Columbia Savings ,Cincinnati,OH,32284,7/11/16
AztecAmerica ,Berwyn,IL,57866,7/4/16
Allendale  ,Fairfax,SC,15062,6/13/16
Vantage Point ,Horsham,PA,58531,4/18/16
Millennium  National Association,Sterling,VA,35096,4/18/16
Syringa ,Boise,ID,34296,3/21/16
   Union,El Reno,OK,17967,3/14/16
DuPage National ,West Chicago,IL,5732,3/7/16
Texas   National Association,The Woodlands,TX,57431,2/1/16
  Jackson ,Graceville,FL,14794,12/19/15
First National  also operating as  National   El Paso,Edinburg,TX,14318,11/2/15
ABCs,Bridgeport,CT,57041,11/2/15
Sunrise   Arizona,Phoenix,AZ,34707,10/12/15
 South ,Parsons,TN,19849,10/12/15
  Wausau,Wausau,WI,35016,9/28/15
First    Southwest Flida,Fort Myers,FL,34943,9/21/15
Mountain National ,Sevierville,TN,34789,7/27/15
1st  ,North Las Vegas,NV,58358,7/26/15
s  Wisconsin dba   Kenosha,Kenosha,WI,35386,7/20/15
Central Arizona ,Scottsdale,AZ,34527,7/3/15
Sunrise ,Valdosta,GA,58185,6/29/15
Pisgah  ,Asheville,NC,58701,6/29/15
Douglas  ,Douglasville,GA,21649,6/15/15
Parkway ,Lenoir,NC,57158,6/15/15
Chipola  ,Marianna,FL,58034,6/8/15
Heritage   Nth Flida,Orange Park,FL,26680,6/8/15
First  ,Lexington,KY,29594,6/8/15
Gold Canyon ,Gold Canyon,AZ,58066,5/25/15
Frontier ,LaGrange,GA,16431,4/27/15
Covenant ,Chicago,IL,22476,4/6/15
1st Regents ,Andover,MN,57157,3/9/15
Westside  ,University Place,WA,33997,3/2/15
    Ozarks,Sunrise Beach,MO,27331,2/2/15
Hometown  ,Braselton,GA,57928,1/5/15
s First National ,Princeton,IL,3731,12/22/14
Heritage   Flida,Lutz,FL,35009,12/22/14
NOVA ,Berwyn,PA,27148,12/15/14
Excel ,Sedalia,MO,19189,12/8/14
First East Side Savings ,Tamarac,FL,28144,12/8/14
GulfSouth Private ,Destin,FL,58073,12/8/14
First United ,Crete,IL,20685,11/17/14
Truman ,St. Louis,MO,27316,11/3/14
First  ,Bloomington,MN,35246,10/27/14
Waukegan Savings ,Waukegan,IL,28243,9/22/14
Jasper ing ,Jasper,GA,16240,9/15/14
Second  Savings  Loan Association  Chicago,Chicago,IL,27986,9/8/14
Heartl ,Leawood,KS,1361,9/8/14
First Cherokee  ,Woodstock,GA,32711,9/8/14
Gegia Trust ,Buford,GA,57847,9/8/14
 Royal Palm   Flida,Naples,FL,57096,9/8/14
Glasgow Savings ,Glasgow,MO,1056,9/1/14
